,sector,sector_open_mean,sector_close_mean,sector_high_max,sector_low_min,sector_volume_mean
0,FINANCE,22.720877,22.7468,33.7388,14.38,25015.77666666667
1,TECHNOLOGY,73.75985925,73.7855875,145.09,6.14,26564664.765
